match_id,timestamp,home_team_id,away_team_id,home_score_total,away_score_total,home_sets_won,away_sets_won,score_diff,set_diff,home_current_score,away_current_score,set_info,game_duration,match_status,home_win_rate_last5,away_win_rate_last5,head_to_head_win_rate_home
198944,2025-06-04 14:50:13.562778,2322,45540,64,50,2,0,14,2,12,7,Set 1: 25-18 | Set 2: 27-25 | Set 3: 12-7,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:53:55.640862,2322,45540,67,51,2,0,16,2,15,8,Set 1: 25-18 | Set 2: 27-25 | Set 3: 15-8,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:54:26.993612,2322,45540,68,51,2,0,17,2,16,8,Set 1: 25-18 | Set 2: 27-25 | Set 3: 16-8,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:55:09.207305,2322,45540,69,51,2,0,18,2,17,8,Set 1: 25-18 | Set 2: 27-25 | Set 3: 17-8,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:56:22.424615,2322,45540,69,52,2,0,17,2,17,9,Set 1: 25-18 | Set 2: 27-25 | Set 3: 17-9,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:56:48.282801,2322,45540,70,52,2,0,18,2,18,9,Set 1: 25-18 | Set 2: 27-25 | Set 3: 18-9,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:57:19.633009,2322,45540,70,53,2,0,17,2,18,10,Set 1: 25-18 | Set 2: 27-25 | Set 3: 18-10,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:57:50.968837,2322,45540,71,53,2,0,18,2,19,10,Set 1: 25-18 | Set 2: 27-25 | Set 3: 19-10,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:59:04.172740,2322,45540,72,53,2,0,19,2,20,10,Set 1: 25-18 | Set 2: 27-25 | Set 3: 20-10,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:59:30.081650,2322,45540,73,54,2,0,19,2,21,11,Set 1: 25-18 | Set 2: 27-25 | Set 3: 21-11,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 15:00:06.588855,2322,45540,74,54,2,0,20,2,22,11,Set 1: 25-18 | Set 2: 27-25 | Set 3: 22-11,150m 0s,3rd set,1.0,0.8,0.9
